线路,方向,起点,终点,客流量
10路,上行,拔茅站,翡翠山,1.0
10路,上行,拔茅站,实验幼儿园,1.1
10路,上行,拔茅站,电力调度中心,0.8
10路,上行,拔茅站,中医院（南）,3.1
10路,上行,拔茅站,和悦广场,1.0
10路,上行,拔茅站,七星大桥（南）,1.0
10路,上行,拔茅站,三花股份,0.9
10路,上行,拔茅站,西郊中学,1.0
10路,上行,拔茅站,协和医院（消防大队）,0.9
10路,上行,拔茅站,上礼泉农贸市场,1.2
10路,上行,拔茅站,城关加油站、热电路口,3.5
10路,上行,拔茅站,五马公园,0.7
10路,上行,拔茅站,新昌大桥,0.7
10路,上行,拔茅站,马大王美女山,1.0
10路,上行,拔茅站,城东大桥,0.8
10路,上行,拔茅站,客运东站,1.6
10路,上行,拔茅站,拔茅中学,2.4
10路,上行,拔茅站,拔茅商场,3.2
10路,上行,翡翠山,卫计局,0.9
10路,上行,翡翠山,实验幼儿园,2.1
10路,上行,翡翠山,张家庄（北）,0.8
10路,上行,翡翠山,电力调度中心,1.5
10路,上行,翡翠山,中医院（南）,6.2
10路,上行,翡翠山,和悦广场,1.9
10路,上行,翡翠山,七星大桥（南）,1.9
10路,上行,翡翠山,三花股份,1.8
10路,上行,翡翠山,西郊中学,2.1
10路,上行,翡翠山,协和医院（消防大队）,1.8
10路,上行,翡翠山,上礼泉农贸市场,2.4
10路,上行,翡翠山,城关加油站、热电路口,7.0
10路,上行,翡翠山,五马公园,1.3
10路,上行,翡翠山,新昌大桥,1.4
10路,上行,翡翠山,马大王美女山,2.0
10路,上行,翡翠山,章家山脚,0.9
10路,上行,翡翠山,章家山,0.6
10路,上行,翡翠山,毛纺织有限公司,0.9
10路,上行,翡翠山,城东大桥,1.6
10路,上行,翡翠山,中财公司,0.7
10路,上行,翡翠山,客运东站,3.3
10路,上行,翡翠山,拔茅中学,4.8
10路,上行,翡翠山,拔茅商场,6.4
10路,上行,翡翠山,新颖建材,0.6
10路,上行,卫计局,实验幼儿园,1.0
10路,上行,卫计局,电力调度中心,0.7
10路,上行,卫计局,中医院（南）,2.8
10路,上行,卫计局,和悦广场,0.9
10路,上行,卫计局,七星大桥（南）,0.9
10路,上行,卫计局,三花股份,0.8
10路,上行,卫计局,西郊中学,0.9
10路,上行,卫计局,协和医院（消防大队）,0.8
10路,上行,卫计局,上礼泉农贸市场,1.1
10路,上行,卫计局,城关加油站、热电路口,3.2
10路,上行,卫计局,五马公园,0.6
10路,上行,卫计局,新昌大桥,0.6
10路,上行,卫计局,马大王美女山,0.9
10路,上行,卫计局,城东大桥,0.7
10路,上行,卫计局,客运东站,1.5
10路,上行,卫计局,拔茅中学,2.2
10路,上行,卫计局,拔茅商场,2.9
10路,上行,实验幼儿园,张家庄（北）,0.8
10路,上行,实验幼儿园,电力调度中心,1.7
10路,上行,实验幼儿园,中医院（南）,6.7
10路,上行,实验幼儿园,和悦广场,2.1
10路,上行,实验幼儿园,七星大桥（南）,2.1
10路,上行,实验幼儿园,三花股份,2.0
10路,上行,实验幼儿园,西郊中学,2.2
10路,上行,实验幼儿园,协和医院（消防大队）,2.0
10路,上行,实验幼儿园,上礼泉农贸市场,2.5
10路,上行,实验幼儿园,城关加油站、热电路口,7.5
10路,上行,实验幼儿园,五马公园,1.4
10路,上行,实验幼儿园,新昌大桥,1.5
10路,上行,实验幼儿园,马大王美女山,2.2
10路,上行,实验幼儿园,章家山脚,1.0
10路,上行,实验幼儿园,章家山,0.7
10路,上行,实验幼儿园,毛纺织有限公司,1.0
10路,上行,实验幼儿园,城东大桥,1.7
10路,上行,实验幼儿园,中财公司,0.7
10路,上行,实验幼儿园,客运东站,3.5
10路,上行,实验幼儿园,拔茅中学,5.1
10路,上行,实验幼儿园,拔茅商场,6.9
10路,上行,实验幼儿园,新颖建材,0.7
10路,上行,张家庄（北）,电力调度中心,0.6
10路,上行,张家庄（北）,中医院（南）,2.4
10路,上行,张家庄（北）,和悦广场,0.8
10路,上行,张家庄（北）,七星大桥（南）,0.8
10路,上行,张家庄（北）,三花股份,0.7
10路,上行,张家庄（北）,西郊中学,0.8
10路,上行,张家庄（北）,协和医院（消防大队）,0.7
10路,上行,张家庄（北）,上礼泉农贸市场,0.9
10路,上行,张家庄（北）,城关加油站、热电路口,2.7
10路,上行,张家庄（北）,五马公园,0.5
10路,上行,张家庄（北）,新昌大桥,0.5
10路,上行,张家庄（北）,马大王美女山,0.8
10路,上行,张家庄（北）,城东大桥,0.6
10路,上行,张家庄（北）,客运东站,1.3
10路,上行,张家庄（北）,拔茅中学,1.8
10路,上行,张家庄（北）,拔茅商场,2.5
10路,上行,电力调度中心,中医院（南）,5.1
10路,上行,电力调度中心,和悦广场,1.6
10路,上行,电力调度中心,七星大桥（南）,1.6
10路,上行,电力调度中心,三花股份,1.5
10路,上行,电力调度中心,西郊中学,1.7
10路,上行,电力调度中心,协和医院（消防大队）,1.5
10路,上行,电力调度中心,上礼泉农贸市场,1.9
10路,上行,电力调度中心,城关加油站、热电路口,5.7
10路,上行,电力调度中心,五马公园,1.1
10路,上行,电力调度中心,新昌大桥,1.1
10路,上行,电力调度中心,马大王美女山,1.6
10路,上行,电力调度中心,章家山脚,0.8
10路,上行,电力调度中心,毛纺织有限公司,0.8
10路,上行,电力调度中心,城东大桥,1.3
10路,上行,电力调度中心,中财公司,0.6
10路,上行,电力调度中心,客运东站,2.7
10路,上行,电力调度中心,拔茅中学,3.9
10路,上行,电力调度中心,拔茅商场,5.2
10路,上行,电力调度中心,新颖建材,0.5
10路,上行,中医院（南）,和悦广场,7.2
10路,上行,中医院（南）,七星大桥（南）,7.2
10路,上行,中医院（南）,三花公寓,1.5
10路,上行,中医院（南）,三花集团,1.6
10路,上行,中医院（南）,三花股份,6.8
10路,上行,中医院（南）,西郊中学,7.7
10路,上行,中医院（南）,协和医院（消防大队）,6.8
10路,上行,中医院（南）,上礼泉农贸市场,8.8
10路,上行,中医院（南）,城关加油站、热电路口,26.2
10路,上行,中医院（南）,五马公园,4.9
10路,上行,中医院（南）,新昌大桥,5.2
10路,上行,中医院（南）,马大王美女山,7.5
10路,上行,中医院（南）,章家山脚,3.5
10路,上行,中医院（南）,章家山,2.3
10路,上行,中医院（南）,毛纺织有限公司,3.5
10路,上行,中医院（南）,城东大桥,6.0
10路,上行,中医院（南）,华佳热电,0.8
10路,上行,中医院（南）,中财公司,2.5
10路,上行,中医院（南）,客运东站,12.2
10路,上行,中医院（南）,白段,1.1
10路,上行,中医院（南）,泉清村,0.5
10路,上行,中医院（南）,嘉盛毛纺,0.5
10路,上行,中医院（南）,天仁医药,1.3
10路,上行,中医院（南）,康平胶囊,1.1
10路,上行,中医院（南）,新岩村,0.8
10路,上行,中医院（南）,拔茅加油站,0.7
10路,上行,中医院（南）,拔茅中学,17.8
10路,上行,中医院（南）,拔茅商场,23.9
10路,上行,中医院（南）,新颖建材,2.4
10路,上行,和悦广场,七星大桥（南）,2.3
10路,上行,和悦广场,三花集团,0.5
10路,上行,和悦广场,三花股份,2.2
10路,上行,和悦广场,西郊中学,2.5
10路,上行,和悦广场,协和医院（消防大队）,2.2
10路,上行,和悦广场,上礼泉农贸市场,2.9
10路,上行,和悦广场,城关加油站、热电路口,8.5
10路,上行,和悦广场,五马公园,1.6
10路,上行,和悦广场,新昌大桥,1.7
10路,上行,和悦广场,马大王美女山,2.4
10路,上行,和悦广场,章家山脚,1.1
10路,上行,和悦广场,章家山,0.7
10路,上行,和悦广场,毛纺织有限公司,1.1
10路,上行,和悦广场,城东大桥,2.0
10路,上行,和悦广场,中财公司,0.8
10路,上行,和悦广场,客运东站,4.0
10路,上行,和悦广场,拔茅中学,5.8
10路,上行,和悦广场,拔茅商场,7.8
10路,上行,和悦广场,新颖建材,0.8
10路,上行,七星大桥（南）,三花公寓,0.5
10路,上行,七星大桥（南）,三花集团,0.5
10路,上行,七星大桥（南）,三花股份,2.3
10路,上行,七星大桥（南）,西郊中学,2.6
10路,上行,七星大桥（南）,协和医院（消防大队）,2.3
10路,上行,七星大桥（南）,上礼泉农贸市场,3.0
10路,上行,七星大桥（南）,城关加油站、热电路口,8.9
10路,上行,七星大桥（南）,五马公园,1.7
10路,上行,七星大桥（南）,新昌大桥,1.8
10路,上行,七星大桥（南）,马大王美女山,2.5
10路,上行,七星大桥（南）,章家山脚,1.2
10路,上行,七星大桥（南）,章家山,0.8
10路,上行,七星大桥（南）,毛纺织有限公司,1.2
10路,上行,七星大桥（南）,城东大桥,2.0
10路,上行,七星大桥（南）,中财公司,0.9
10路,上行,七星大桥（南）,客运东站,4.1
10路,上行,七星大桥（南）,拔茅中学,6.1
10路,上行,七星大桥（南）,拔茅商场,8.1
10路,上行,七星大桥（南）,新颖建材,0.8
10路,上行,三花公寓,西郊中学,0.5
10路,上行,三花公寓,上礼泉农贸市场,0.6
10路,上行,三花公寓,城关加油站、热电路口,1.8
10路,上行,三花公寓,马大王美女山,0.5
10路,上行,三花公寓,客运东站,0.9
10路,上行,三花公寓,拔茅中学,1.2
10路,上行,三花公寓,拔茅商场,1.7
10路,上行,三花集团,三花股份,0.5
10路,上行,三花集团,西郊中学,0.6
10路,上行,三花集团,协和医院（消防大队）,0.5
10路,上行,三花集团,上礼泉农贸市场,0.7
10路,上行,三花集团,城关加油站、热电路口,2.0
10路,上行,三花集团,马大王美女山,0.6
10路,上行,三花集团,客运东站,0.9
10路,上行,三花集团,拔茅中学,1.4
10路,上行,三花集团,拔茅商场,1.8
10路,上行,三花股份,西郊中学,2.7
10路,上行,三花股份,协和医院（消防大队）,2.3
10路,上行,三花股份,上礼泉农贸市场,3.0
10路,上行,三花股份,城关加油站、热电路口,9.0
10路,上行,三花股份,五马公园,1.7
10路,上行,三花股份,新昌大桥,1.8
10路,上行,三花股份,马大王美女山,2.6
10路,上行,三花股份,章家山脚,1.2
10路,上行,三花股份,章家山,0.8
10路,上行,三花股份,毛纺织有限公司,1.2
10路,上行,三花股份,城东大桥,2.1
10路,上行,三花股份,中财公司,0.9
10路,上行,三花股份,客运东站,4.2
10路,上行,三花股份,拔茅中学,6.1
10路,上行,三花股份,拔茅商场,8.2
10路,上行,三花股份,新颖建材,0.8
10路,上行,西郊中学,协和医院（消防大队）,2.8
10路,上行,西郊中学,上礼泉农贸市场,3.6
10路,上行,西郊中学,城关加油站、热电路口,10.8
10路,上行,西郊中学,五马公园,2.0
10路,上行,西郊中学,新昌大桥,2.1
10路,上行,西郊中学,马大王美女山,3.1
10路,上行,西郊中学,章家山脚,1.4
10路,上行,西郊中学,章家山,0.9
10路,上行,西郊中学,毛纺织有限公司,1.4
10路,上行,西郊中学,城东大桥,2.5
10路,上行,西郊中学,中财公司,1.0
10路,上行,西郊中学,客运东站,5.0
10路,上行,西郊中学,天仁医药,0.5
10路,上行,西郊中学,拔茅中学,7.3
10路,上行,西郊中学,拔茅商场,9.8
